dir,kind,outcome,signalTs,fillTs,exitTs,entryP,slInit,tp,exitP,rResult,lots
1,LIMIT,TP,1704189600,1704189660,1704189780,100.6,99.0,103.0,103.0,1.5,0.1
1,LIMIT,TP,1704189660,1704189660,1704189780,101.0,100.0,103.0,103.0,2.0,0.1
1,MARKET,SL,1704189660,1704189720,1704189900,101.0,102.0,104.0,102.0,1.0,0.1
1,MARKET,TP,1704189660,1704189720,1704189780,110.0,108.0,112.0,112.0,1.0,0.1
-1,MARKET,SL,1704189720,1704189780,1704189720,103.0,105.0,100.0,105.0,-1.0,0.1
1,MARKET,SL,1704189660,1704189720,1704189900,101.0,102.0,104.0,102.0,1.0,0.1
1,LIMIT,TP,1704189720,1704189780,1704189840,103.0,99.5,104.0,104.0,0.286,0.1
1,LIMIT,TP,1704189600,1704362400,1704363000,100.5,99.0,103.0,103.0,1.67,0.1
-1,MARKET,SL,1704189840,1704189900,1704189960,100.0,101.0,98.0,101.0,-1.0,0.117
1,MARKET,TP,1704189900,1704189960,1704190020,99.0,98.0,101.0,100.0,5.0,0.1
